Network,Demand,Goodwill,Backlog,Num_Seeds,Oracle_Profit_Mean,Oracle_Profit_Std,Oracle_Profit_Min,Oracle_Profit_Max,Oracle_FillRate_Mean,Oracle_FillRate_Std,Oracle_FillRate_Min,Oracle_FillRate_Max,Oracle_AvgInv_Mean,Oracle_AvgInv_Std,Oracle_AvgInv_Min,Oracle_AvgInv_Max,Oracle_Unfulfilled_Mean,Oracle_Unfulfilled_Std,Oracle_Unfulfilled_Min,Oracle_Unfulfilled_Max,Oracle_AvgBacklog_Mean,Oracle_AvgBacklog_Std,Oracle_AvgBacklog_Min,Oracle_AvgBacklog_Max,Oracle_FinalSentiment_Mean,Oracle_FinalSentiment_Std,Oracle_FinalSentiment_Min,Oracle_FinalSentiment_Max,Avg_SolveTime_s
base,seasonal,False,False,30,673.968,28.343576958944087,615.1229999999998,720.6509999999998,0.8667079279928122,0.03297568063272296,0.7993779160186625,0.9456521739130435,602.4688888888888,6.481627044524911,592.1333333333333,614.9666666666667,80.53333333333333,22.86954507536219,30.0,129.0,2.684444444444445,0.7623181691787396,1.0,4.3,1.0,0.0,1.0,1.0,0.32488009134928386
base,seasonal,False,True,30,839.3861,56.037690941223985,730.4559999999999,965.6969999999999,0.671508340201329,0.14033913833769573,0.34681181959564544,0.9293478260869565,560.0233333333333,16.674003327730883,528.1666666666666,596.8666666666667,199.83333333333334,92.62571451009566,39.0,420.0,6.6611111111111105,3.087523817003189,1.3,14.0,1.0,0.0,1.0,1.0,0.48854305744171145
base,seasonal,True,False,30,545.8096666666667,39.5115723025052,458.94199999999995,615.0590000000002,0.8430316748797374,0.029211241247586762,0.7771929824561403,0.8981818181818182,613.8533333333332,4.935186045397065,604.2,625.8,86.83333333333333,17.737712275871687,54.0,127.0,2.8944444444444444,0.5912570758623896,1.8,4.233333333333333,0.8287033484612446,0.0752523130964282,0.6681079716341083,0.9442418536112391,0.2556945006052653
base,seasonal,True,True,30,689.4648333333333,37.661265568387996,615.8679999999999,765.9560000000001,0.5486987012621196,0.1550007473908413,0.1831238779174147,0.8018181818181818,569.7966666666666,10.514745530121889,544.9666666666667,593.4,244.0,86.53044112553287,109.0,455.0,8.133333333333333,2.8843480375177624,3.6333333333333333,15.166666666666666,0.7634168883608698,0.09083808115979104,0.6681079716341083,0.9442418536112391,0.3140257994333903
base,seasonal+shock,False,False,30,1106.3666666666666,37.771125059096185,1034.575,1197.565,0.9006407332868489,0.025238869443418552,0.8475177304964538,0.9603174603174603,542.6355555555555,8.300034313428277,525.9666666666667,557.5,80.53333333333333,22.86954507536219,30.0,129.0,2.684444444444445,0.7623181691787396,1.0,4.3,1.0,0.0,1.0,1.0,0.21860981782277425
base,seasonal+shock,False,True,30,1270.9598999999996,64.40659296052506,1140.5819999999999,1407.966,0.7548439749378829,0.10635864740084604,0.5035460992907801,0.9484126984126984,499.2766666666667,18.3904796918139,465.1333333333333,535.7,199.83333333333334,92.62571451009566,39.0,420.0,6.6611111111111105,3.087523817003189,1.3,14.0,1.0,0.0,1.0,1.0,0.19980371793111165
base,seasonal+shock,True,False,30,866.5385333333335,73.7652065004266,674.4089999999999,1025.967,0.877743238897419,0.02519094423317866,0.8228730822873083,0.9251040221914009,563.2911111111111,6.606811377454851,553.0333333333333,584.1666666666666,86.83333333333333,17.737712275871687,54.0,127.0,2.8944444444444444,0.5912570758623896,1.8,4.233333333333333,0.8287033484612446,0.0752523130964282,0.6681079716341083,0.9442418536112391,0.2330832084019979
base,seasonal+shock,True,True,30,979.8433666666666,63.12873261206618,847.5680000000001,1110.256,0.6419905718541482,0.13034297558116079,0.3289085545722714,0.849862258953168,522.9399999999999,8.87909163142456,503.0,536.6,244.0,86.53044112553287,109.0,455.0,8.133333333333333,2.8843480375177624,3.6333333333333333,15.166666666666666,0.7634168883608698,0.09083808115979104,0.6681079716341083,0.9442418536112391,0.21737728913625082
base,shock,False,False,30,1462.2171,63.19975410327,1310.6660000000002,1570.731,0.9965689593726857,0.008284514890521419,0.970873786407767,1.0,518.2366666666666,16.254721330039505,491.43333333333334,549.9,3.2333333333333334,7.828697576680709,0.0,27.0,0.10777777777777778,0.26095658588935705,0.0,0.9,1.0,0.0,1.0,1.0,0.2660594701766968
base,shock,False,True,30,1469.3010666666664,71.87672653731205,1310.6660000000002,1611.865,0.9962826373006818,0.009245123652235636,0.9633225458468176,1.0,516.5122222222222,18.668334250910114,483.1,549.9,3.5,8.708893591393048,0.0,34.0,0.11666666666666667,0.2902964530464349,0.0,1.1333333333333333,1.0,0.0,1.0,1.0,0.22217615445454916
base,shock,True,False,30,1625.719133333333,147.65771387552746,1285.588,1807.7839999999997,0.987367779925031,0.014499614355713154,0.9513812154696133,1.0,491.81666666666666,13.074293311451658,474.3666666666667,531.9333333333333,11.9,13.391582533764286,0.0,44.0,0.39666666666666667,0.4463860844588094,0.0,1.4666666666666666,1.2006935803557917,0.12803952196649873,0.9442418536112391,1.334503876567234,0.37787460486094154
base,shock,True,True,30,1651.397,125.33730887048971,1353.035,1807.7839999999997,0.9844218387430324,0.02091182909057239,0.9215469613259668,1.0,485.4777777777778,11.057915572437338,464.76666666666665,516.3333333333334,14.6,19.22749468142269,0.0,71.0,0.48666666666666664,0.6409164893807563,0.0,2.3666666666666667,1.2006935803557917,0.12803952196649873,0.9442418536112391,1.334503876567234,0.30440735816955566
base,stationary,False,False,30,831.6319333333334,55.93744337662063,686.4889999999999,922.915,0.9949691688509046,0.012119735092409956,0.957680250783699,1.0,602.4244444444444,15.427178915717969,580.8,636.1333333333333,3.2333333333333334,7.828697576680709,0.0,27.0,0.10777777777777778,0.26095658588935705,0.0,0.9,1.0,0.0,1.0,1.0,2.4942410071690877
base,stationary,False,True,30,838.7292333333334,65.70572603645866,686.4889999999999,962.3980000000001,0.9945524742235172,0.013509066906049527,0.9467084639498433,1.0,600.7,17.974560567263023,568.0,636.1333333333333,3.5,8.708893591393048,0.0,34.0,0.11666666666666667,0.2902964530464349,0.0,1.1333333333333333,1.0,0.0,1.0,1.0,0.626974638303121
base,stationary,True,False,30,925.9832000000001,74.60718560909761,739.121,1040.364,0.9816071264698244,0.0209983067997991,0.930379746835443,1.0,582.6377777777777,9.573913844873877,564.5333333333333,603.9,11.8,13.386560424545209,0.0,44.0,0.3933333333333333,0.4462186808181736,0.0,1.4666666666666666,1.2006935803557917,0.12803952196649873,0.9442418536112391,1.334503876567234,0.5219507932662963
