Network,Demand,Goodwill,Backlog,N,Old_Profit_Mean,Old_Profit_Std,Old_FillRate_Mean,Clv_Profit_Mean,Clv_Profit_Std,Clv_FillRate_Mean,Clv_Sentiment_Mean,Clv_AvgTime,Profit_Diff,Profit_Diff_Pct,FillRate_Diff
base,seasonal,False,False,30,673.968,28.343576958944098,0.8667079279928119,673.968,28.343576958944098,0.8667079279928119,1.0,2.0009650150934855,0.0,0.0,0.0
base,seasonal,False,True,30,839.3860999999999,56.03769094122398,0.6715083402013288,839.3860999999999,56.03769094122398,0.6715083402013288,1.0,4.03879599571228,0.0,0.0,0.0
base,seasonal,True,False,30,545.8096666666665,39.511572302505215,0.8430316748797375,458.9896999999999,34.181449845312066,0.8344041457312656,0.5380223234551171,1.3118331909179688,-86.81996666666663,-15.90663778398941,-0.008627529148471869
base,seasonal,True,True,30,689.4648333333333,37.661265568387996,0.5486987012621197,568.9847666666666,48.35702796954255,0.5857978306125041,0.46614222950083006,1.3520973443984985,-120.48006666666674,-17.474432464406583,0.0370991293503844
base,seasonal+shock,False,False,30,1106.3666666666666,37.771125059096214,0.9006407332868489,1106.3666666666666,37.771125059096214,0.9006407332868489,1.0,1.4773417949676513,0.0,0.0,0.0
base,seasonal+shock,False,True,30,1270.9599,64.4065929605251,0.754843974937883,1270.9746,64.41427115359045,0.754843974937883,1.0,1.4749523798624675,0.014699999999947977,0.0011566061210859584,0.0
base,seasonal+shock,True,False,30,866.5385333333332,73.76520650042661,0.8777432388974191,690.1667666666666,55.622277499703536,0.8485756223350316,0.5182564580880993,1.8808187007904054,-176.37176666666664,-20.35359766266982,-0.029167616562387533
base,seasonal+shock,True,True,30,979.8433666666666,63.12873261206617,0.6419905718541482,784.1674666666667,44.453991561003214,0.6280121674631508,0.4253142715127508,2.024994889895121,-195.67589999999996,-19.970120394412696,-0.013978404390997401
base,shock,False,False,30,1462.2171,63.19975410327008,0.9965689593726857,1462.2171,63.19975410327008,0.9965689593726857,1.0,1.0157545646031698,0.0,0.0,0.0
base,shock,False,True,30,1469.3010666666667,71.87672653731204,0.9962826373006819,1469.3010666666667,71.87672653731202,0.9962826373006819,1.0,1.0154540856679282,0.0,0.0,0.0
base,shock,True,False,30,1625.7191333333333,147.6577138755274,0.987367779925031,1130.0032333333334,83.46352390144527,0.9319595459140263,0.6891582558437789,1.3390800078709921,-495.7158999999999,-30.492099762865966,-0.0554082340110047
base,shock,True,True,30,1651.3970000000002,125.33730887048972,0.9844218387430322,1047.7208666666668,63.21412519297123,0.8728018294333985,0.5756011135675287,1.334987219174703,-603.6761333333334,-36.55548201512618,-0.11162000930963378
base,stationary,False,False,30,831.6319333333333,55.93744337662066,0.9949691688509045,831.6319333333333,55.93744337662066,0.9949691688509045,1.0,3.414736819267273,0.0,0.0,0.0
base,stationary,False,True,30,838.7292333333334,65.70572603645866,0.9945524742235171,838.7292333333334,65.70572603645866,0.9945524742235171,1.0,3.333440089225769,0.0,0.0,0.0
base,stationary,True,False,30,925.9832,74.60718560909758,0.9816071264698244,656.1810333333334,54.408458037003435,0.9290078994808314,0.6856176285287116,4.547198470433553,-269.8021666666666,-29.136831712137607,-0.052599226988993
