Network,Demand,Goodwill,Backlog,Oracle_Profit,DLP_H10_Profit,DLP_H10_Fill,DLP_H10_Time,DLP_Adaptive_Profit,DLP_Adaptive_Fill,DLP_Adaptive_Time,Improvement,Improvement_%,Gap_H10_%,Gap_Adaptive_%
base,stationary,False,True,841.3732,793.2429999999999,0.8767947120165862,2.8798141479492188,838.8456,0.7902739322834931,4.6579371929168705,45.60260000000005,5.748881490287347,5.72043416643174,0.3004136571024614
base,stationary,False,False,829.5322,742.3090000000001,0.9570683122804265,2.4145244121551515,789.7752,0.9541910153323585,3.4913702964782716,47.46619999999996,6.39439909794977,10.514745539715022,4.792701235708505
base,stationary,True,True,895.9970000000001,556.705,0.9197678442643827,2.4992764472961424,610.3543999999999,0.91838535578512,1.2389100551605225,53.6493999999999,9.63695314394516,37.86753750291575,31.87986120489244
base,stationary,True,False,864.0554,596.0200000000001,0.9587800429263957,0.7745535850524903,652.087,0.95861306716758,1.1981875419616699,56.066999999999894,9.406899097345708,31.020626686668457,24.531806641101948
base,trend,False,True,1726.811,1692.1209999999999,0.7162098400926415,0.8240361213684082,1720.7476,0.6781415154868222,4.50207290649414,28.626600000000053,1.6917584498980898,2.0089054331944873,0.351132810712927
base,trend,False,False,1535.8922000000002,1477.2679999999998,0.8963204098438833,3.155752182006836,1515.764,0.8961297520745791,3.385421371459961,38.496000000000095,2.605891415775614,3.816947569627635,1.3105216629136036
base,trend,True,True,1291.9632,1058.9630000000002,0.8513253143607397,2.4323095798492433,1098.574,0.8518030395332911,3.557524251937866,39.610999999999876,3.740546175834271,18.034584886009117,14.968630685456045
base,trend,True,False,1206.6563999999998,1013.6209999999999,0.9163361892400863,2.8060344219207765,1064.1934,0.9177528965879482,3.992355489730835,50.57240000000024,4.989281003452005,15.997544951487432,11.806426419318687
base,seasonal,False,True,840.9057999999999,796.625,0.45210783742458843,2.9858653068542482,840.8657999999999,0.3843521558250918,3.650311231613159,44.24079999999992,5.553528950258895,5.26584547282227,0.004756775372457132
base,seasonal,False,False,648.6225999999999,588.6339999999999,0.8297708690660933,2.463164758682251,643.439,0.8294539118553168,1.6088981628417969,54.805000000000064,9.310539316451322,9.248613908920229,0.7991704266857117
base,seasonal,True,True,672.4886,518.698,0.668936940004605,0.8109253406524658,570.1121999999999,0.668936940004605,1.0344825744628907,51.41419999999994,9.912164689279685,22.868878372064604,15.223514569615023
base,seasonal,True,False,516.8643999999999,426.6550000000001,0.8786688630680821,0.7226187705993652,481.4887999999999,0.8770378319105653,1.167730188369751,54.833799999999826,12.852023297511996,17.453204360756875,6.844270953851731
base,shock,False,True,1453.193,1413.15,0.9066229026841046,0.7541744709014893,1443.7796,0.8429672748348496,1.015412187576294,30.629599999999982,2.1674698368892176,2.75551836542014,0.6477735579513465
base,shock,False,False,1441.375,1358.144,0.9676156888571942,0.7268293857574463,1395.3862000000001,0.96609631165282,1.0177025318145752,37.24220000000014,2.7421392724188407,5.774416789523892,3.1906200676437333
base,shock,True,True,1539.8902000000005,1033.722,0.9274180308625111,0.720984697341919,1075.1545999999998,0.922986360257244,1.088764762878418,41.432599999999866,4.0080988892564795,32.87040855250591,30.179788143336488
base,shock,True,False,1508.0494,1087.759,0.9592343769237409,0.7616005897521972,1145.722,0.9635523011746574,0.9705636501312256,57.962999999999965,5.328661955451526,27.8698032040595,24.026228849001903
base,trend+seasonal,False,True,1549.8776000000005,1515.3830000000003,0.062105049072874216,0.7643601894378662,1538.1388000000002,0.062105049072874216,1.024675178527832,22.75579999999991,1.501653377396995,2.2256338177931085,0.7574017457894938
base,trend+seasonal,False,False,1142.1958,1069.4029999999998,0.7547650885563031,0.7319653034210205,1115.4538,0.755166694982006,1.057255506515503,46.05080000000021,4.306215711008873,6.373057929297252,2.3412798401114734
base,trend+seasonal,True,True,989.5748,806.3870000000001,0.23603616956005052,0.7557539939880371,842.7028,0.23603616956005052,1.004331111907959,36.31579999999997,4.50352002202416,18.511768893063962,14.84193008956978
base,trend+seasonal,True,False,720.9208000000001,629.409,0.776964570788282,0.7465368270874023,677.6959999999999,0.776964570788282,1.0175848484039307,48.28699999999992,7.671800053701158,12.693738341299085,5.9957765124823945
base,trend+shock,False,True,2979.0724,2298.679,0.38389359614884633,0.7548580646514893,2950.9702,0.7718564536153102,1.1419794082641601,652.2912000000001,28.376785101356045,22.839102534063958,0.9433204778776041
base,trend+shock,False,False,2810.5122,2350.007,0.807887183309757,0.7261216640472412,2764.384,0.9314543741376042,1.1724112033843994,414.37699999999995,17.63301130592377,16.38509877309908,1.6412737863226532
base,trend+shock,True,True,2005.8092,1830.444,0.8932949106812309,0.7846444129943848,1852.6188000000002,0.8968081438217391,0.974971342086792,22.174800000000232,1.2114437808531826,8.742865472947276,7.637336592134473
base,trend+shock,True,False,2085.079,1831.119,0.9451979520793161,0.7415497779846192,1858.9218,0.9447553174035624,1.0036925792694091,27.80280000000016,1.5183502546803438,12.179874239777018,10.846457136636074
base,seasonal+shock,False,True,1262.407,1226.265,0.5694216905558933,0.7654191493988037,1258.6301999999998,0.5174226545060395,1.0400400638580323,32.36519999999973,2.6393316289708775,2.8629435673281143,0.299174513449315
base,seasonal+shock,False,False,1071.2692,1008.0550000000001,0.8651535742993657,0.8028507709503174,1054.7926,0.8658756975831021,1.6824116230010986,46.73759999999993,4.636413687745205,5.900869734703462,1.538044779034062
base,seasonal+shock,True,True,902.1510000000002,762.0229999999999,0.7371075474726883,0.9998711109161377,805.0265999999999,0.7371075474726883,1.3575755596160888,43.003600000000006,5.6433467231304055,15.532654732966018,10.765869571723607
base,seasonal+shock,True,False,794.3226000000001,685.3219999999999,0.9028514719462437,1.0000396251678467,732.6025999999999,0.9028514719462437,1.346377468109131,47.28060000000005,6.899034322552035,13.722459867061593,7.770142760636564
base,trend+seasonal+shock,False,True,2422.0264,2291.338,0.20909474492264618,1.0954848289489747,2404.5735999999997,0.21539585609882597,1.4849645137786864,113.23559999999952,4.941898576290338,5.395828881138537,0.7205866955042471
base,trend+seasonal+shock,False,False,2022.3056,1961.1760000000002,0.8295476001136484,1.1311518192291259,1990.509,0.8294015080756644,1.5814949512481689,29.332999999999856,1.495684222119782,3.022767676655781,1.5722945137470765
base,trend+seasonal+shock,True,True,1374.3856,1168.83,0.3878988078105371,1.0722786426544189,1193.0284000000001,0.3882635730958144,1.3549284934997559,24.19840000000022,2.0703096258652005,14.95618114741599,13.195510779507579
base,trend+seasonal+shock,True,False,1214.3744,1060.7350000000001,0.8252672302110977,0.9924803733825683,1106.9112,0.828029923110412,1.3450116157531737,46.17619999999988,4.3532267720024205,12.651732447587813,8.849264279615902
serial,stationary,False,True,1032.0179999999998,631.328,0.0,0.7746777057647705,1003.826,0.7330525935736079,1.2933515548706054,372.49800000000005,59.00229357798166,38.82587319213424,2.7317352991904973
serial,stationary,False,False,1024.326,731.748,0.6715281800000331,0.9019046783447265,966.568,0.9460276803938557,1.0254522800445556,234.81999999999994,32.090282446962604,28.562977020987457,5.638634575320751
serial,stationary,True,True,1059.4640000000002,724.052,0.582029325943871,0.942988920211792,796.68,0.8710652996663141,1.1553845405578613,72.62799999999993,10.030771270571718,31.658650034357006,24.803485536082412
serial,stationary,True,False,1052.108,736.83,0.8304772882864976,1.0000076770782471,825.384,0.9407134500639558,1.0938752174377442,88.55399999999997,12.018240299662061,29.966315245202956,21.549498720663653
serial,trend,False,True,1634.172,268.13199999999995,0.0,0.9709510803222656,1601.1740000000002,0.8120767637537263,1.1004561901092529,1333.0420000000004,497.1588620530189,83.59218001532274,2.0192488917935085
serial,trend,False,False,1589.888,699.386,0.39128733880610284,1.2959584236145019,1541.018,0.9528519286186421,3.6310301303863524,841.6320000000001,120.3386970857295,56.01036047822237,3.0738014250060313
serial,trend,True,True,1448.672,601.12,0.0,0.9034967422485352,1176.95,0.8670003393040732,0.9058464050292969,575.83,95.79285334043121,58.50544498685692,18.756626758852242
serial,trend,True,False,1422.586,733.97,0.6249021375637079,0.7620924949645996,1255.7779999999998,0.953764026578597,1.5381855964660645,521.8079999999998,71.09391392018743,48.405931170417816,11.725688288792398
serial,seasonal,False,True,1040.084,576.9419999999998,0.0,1.2646100044250488,1015.2099999999998,0.6100884998807252,1.763084602355957,438.26800000000003,75.9639617153891,44.529288019044635,2.3915376065779546
