Network,Demand,Goodwill,Backlog,Seed,Oracle_Profit,Oracle_FillRate,Oracle_AvgInv,Oracle_Unfulfilled,Oracle_AvgBacklog,Oracle_FinalSentiment,Oracle_SolveTime_s
base,stationary,False,False,70,786.1389999999999,1.0,618.8666666666667,0.0,0.0,1.0,1.660599946975708
base,stationary,False,False,71,921.2579999999999,0.9799691833590138,584.5666666666667,13.0,0.43333333333333335,1.0,1.9793360233306885
base,stationary,True,True,42,960.193,0.9695121951219512,569.6333333333333,20.0,0.6666666666666666,1.1891618702084263,1.3984599113464355
base,stationary,True,True,43,992.0920000000001,1.0,579.8,0.0,0.0,1.334503876567234,1.3862278461456299
base,stationary,True,True,44,956.596,0.983206106870229,573.0,11.0,0.36666666666666664,1.1891618702084263,1.2365670204162598
base,stationary,True,True,45,943.4259999999999,0.9768518518518519,573.7333333333333,15.0,0.5,1.1891618702084263,0.96756911277771
base,stationary,True,True,46,806.7170000000002,0.9489795918367347,587.0333333333333,30.0,1.0,0.9442418536112392,1.2501780986785889
base,stationary,True,True,47,895.72,0.8876582278481012,562.0666666666667,71.0,2.3666666666666667,0.9442418536112391,0.7844841480255127
base,stationary,True,True,48,941.1859999999999,0.9845679012345679,570.7,10.0,0.3333333333333333,1.1891618702084263,3.023223876953125
base,stationary,True,True,49,813.9240000000001,0.9359190556492412,575.8333333333334,38.0,1.2666666666666666,0.9442418536112391,0.8343899250030518
base,stationary,True,True,50,987.3619999999999,0.9955223880597015,569.4,3.0,0.1,1.1891618702084263,1.226449966430664
base,stationary,True,True,51,980.143,0.9804511278195489,565.3,13.0,0.43333333333333335,1.1891618702084263,1.2102999687194824
base,stationary,True,True,52,936.8290000000001,0.9829457364341085,575.7666666666667,11.0,0.36666666666666664,1.1891618702084263,0.6843070983886719
base,stationary,True,True,53,968.3200000000002,0.9712556732223904,573.9,19.0,0.6333333333333333,1.1891618702084263,0.8041269779205322
base,stationary,True,True,54,940.2429999999998,1.0,600.2,0.0,0.0,1.334503876567234,0.7109079360961914
base,stationary,True,True,55,942.4549999999999,1.0,603.9,0.0,0.0,1.334503876567234,0.4913201332092285
base,stationary,True,True,56,994.2720000000003,0.9762258543833581,565.3,16.0,0.5333333333333333,1.1891618702084263,0.6531298160552979
base,stationary,True,True,57,953.233,0.9908116385911179,572.7,6.0,0.2,1.1891618702084263,0.557244062423706
base,stationary,True,True,58,942.575,0.9984591679506933,578.2,1.0,0.03333333333333333,1.1891618702084263,1.1727900505065918
base,stationary,True,True,59,971.644,1.0,586.6666666666666,0.0,0.0,1.334503876567234,1.1221249103546143
base,stationary,True,True,60,972.8430000000001,1.0,581.0,0.0,0.0,1.334503876567234,0.7959029674530029
base,stationary,True,True,61,1018.2609999999999,1.0,576.9,0.0,0.0,1.334503876567234,0.42189884185791016
base,stationary,True,True,62,1028.649,0.9738372093023255,554.7333333333333,18.0,0.6,1.1891618702084263,0.3615550994873047
base,stationary,True,True,63,1040.364,1.0,579.5666666666667,0.0,0.0,1.334503876567234,0.4801771640777588
base,stationary,True,True,64,986.6809999999998,0.9166666666666666,553.6,56.0,1.8666666666666667,1.0596491912748354,0.42089200019836426
base,stationary,True,True,65,815.548,0.9813874788494078,596.0,11.0,0.36666666666666664,1.0596491912748354,1.0047178268432617
base,stationary,True,True,66,998.8039999999999,1.0,583.0333333333333,0.0,0.0,1.334503876567234,0.6294317245483398
base,stationary,True,True,67,889.8979999999999,1.0,593.7666666666667,0.0,0.0,1.334503876567234,0.3665909767150879
base,stationary,True,True,68,1009.075,1.0,576.3666666666667,0.0,0.0,1.334503876567234,0.39319491386413574
base,stationary,True,True,69,914.789,0.9058084772370487,560.5333333333333,60.0,2.0,1.0596491912748354,0.36153578758239746
base,stationary,True,True,70,990.5649999999998,1.0,586.1666666666666,0.0,0.0,1.334503876567234,0.3178591728210449
base,stationary,True,True,71,952.53,0.9603053435114504,565.2666666666667,26.0,0.8666666666666667,1.0596491912748354,0.4543449878692627
base,stationary,True,False,42,916.1189999999999,0.9695121951219512,580.3,20.0,0.6666666666666666,1.1891618702084263,0.39609503746032715
base,stationary,True,False,43,992.0920000000001,1.0,579.8,0.0,0.0,1.334503876567234,0.39710426330566406
base,stationary,True,False,44,932.355,0.983206106870229,578.8666666666667,11.0,0.36666666666666664,1.1891618702084263,0.46268177032470703
base,stationary,True,False,45,910.3660000000001,0.9768518518518519,581.7333333333333,15.0,0.5,1.1891618702084263,0.38681793212890625
base,stationary,True,False,46,739.121,0.9489795918367347,602.6333333333333,30.0,1.0,0.9442418536112392,0.3587799072265625
base,stationary,True,False,47,803.4750000000001,0.930379746835443,585.7666666666667,44.0,1.4666666666666666,0.9442418536112391,0.47586584091186523
base,stationary,True,False,48,919.1580000000001,0.9845679012345679,576.0333333333333,10.0,0.3333333333333333,1.1891618702084263,0.4011538028717041
base,stationary,True,False,49,770.072,0.9612141652613828,588.7333333333333,23.0,0.7666666666666667,0.9442418536112391,0.5004441738128662
base,stationary,True,False,50,980.7499999999998,0.9955223880597015,571.0,3.0,0.1,1.1891618702084263,0.40437769889831543
base,stationary,True,False,51,951.491,0.9804511278195489,572.2333333333333,13.0,0.43333333333333335,1.1891618702084263,0.3780782222747803
base,stationary,True,False,52,912.585,0.9829457364341085,581.6333333333333,11.0,0.36666666666666664,1.1891618702084263,0.6947450637817383
base,stationary,True,False,53,926.4470000000001,0.9712556732223904,584.0333333333333,19.0,0.6333333333333333,1.1891618702084263,0.4932553768157959
base,stationary,True,False,54,940.2429999999998,1.0,600.2,0.0,0.0,1.334503876567234,0.5445740222930908
base,stationary,True,False,55,942.4549999999999,1.0,603.9,0.0,0.0,1.334503876567234,1.579637050628662
