Network,Demand,Goodwill,Backlog,Agent,Horizon,Profit_Mean,Profit_Std,FillRate_Mean,AvgInv_Mean,Unfulfilled_Mean,Time_Mean_Sec,Num_Seeds
base,seasonal,False,False,DLP_Adaptive,26,643.439,20.865144284188382,0.8294539118553168,673.6266666666667,103.0,1.6088981628417969,5
base,seasonal,False,False,DLP_Adaptive_Blind,26,607.9674,29.376954938182358,0.8139715832066035,681.8,112.0,1.0473461151123047,5
base,seasonal,True,True,DLP_H10,10,518.698,34.510715089664494,0.668936940004605,669.12,154.4,0.8109253406524658,5
base,seasonal,True,True,DLP_H10_Blind,10,488.0720000000001,25.234450380382754,0.7449168020285171,680.3066666666666,119.4,0.894658374786377,5
base,seasonal,True,True,DLP_Adaptive,26,570.1121999999999,34.21870739464018,0.668936940004605,672.3199999999999,154.4,1.0344825744628907,5
base,seasonal,True,True,DLP_Adaptive_Blind,26,514.6588,33.615459999232556,0.6614702328790745,681.0,153.0,1.0026718616485595,5
base,seasonal,True,False,DLP_H10,10,426.6550000000001,33.93876765588282,0.8786688630680821,701.46,59.2,0.7226187705993652,5
base,seasonal,True,False,DLP_H10_Blind,10,456.62299999999993,16.609902648721317,0.8819883875427031,700.2733333333333,59.0,0.8880616188049316,5
base,seasonal,True,False,DLP_Adaptive,26,481.4887999999999,33.21801318802796,0.8770378319105653,703.3866666666667,60.0,1.167730188369751,5
base,seasonal,True,False,DLP_Adaptive_Blind,26,480.0397999999999,21.464020773377936,0.8720834607895644,701.2133333333334,63.0,1.091998815536499,5
base,shock,False,True,DLP_H10,10,1413.15,68.38175487657513,0.9066229026841046,567.8733333333334,84.6,0.7541744709014893,5
base,shock,False,True,DLP_H10_Blind,10,1372.3600000000001,71.64841065927413,0.5734976788372868,577.7133333333334,379.4,0.8130723476409912,5
base,shock,False,True,DLP_Adaptive,26,1443.7796,59.03830933419411,0.8429672748348496,571.7266666666667,143.0,1.015412187576294,5
base,shock,False,True,DLP_Adaptive_Blind,26,816.0340000000002,50.530091525743316,0.0,640.28,1915.0,1.0080957889556885,5
base,shock,False,False,DLP_H10,10,1358.144,48.20816148744935,0.9676156888571942,583.2,29.2,0.7268293857574463,5
base,shock,False,False,DLP_H10_Blind,10,1103.695,52.749660378053704,0.8425998119117498,630.6266666666667,140.0,0.7547796249389649,5
base,shock,False,False,DLP_Adaptive,26,1395.3862000000001,42.87526500629474,0.96609631165282,585.78,30.6,1.0177025318145752,5
base,shock,False,False,DLP_Adaptive_Blind,26,801.5432000000001,28.58820658523374,0.6610637456060571,665.9666666666667,302.2,1.0380486011505128,5
base,shock,True,True,DLP_H10,10,1033.722,127.51624800785186,0.9274180308625111,633.8866666666667,48.0,0.720984697341919,5
base,shock,True,True,DLP_H10_Blind,10,892.7199999999999,78.06538227665317,0.7994081123406683,642.6866666666667,131.8,0.7231716632843017,5
base,shock,True,True,DLP_Adaptive,26,1075.1545999999998,125.89928344291724,0.922986360257244,635.6,50.8,1.088764762878418,5
base,shock,True,True,DLP_Adaptive_Blind,26,827.5629999999999,67.53848943528418,0.659766320258624,649.4333333333333,203.4,1.1842318058013916,5
base,shock,True,False,DLP_H10,10,1087.759,112.31470252820866,0.9592343769237409,629.3466666666667,31.0,0.7616005897521972,5
base,shock,True,False,DLP_H10_Blind,10,825.759,73.32495464710499,0.9151441835207901,663.3800000000001,56.8,0.7334395408630371,5
