Network,Demand,Goodwill,Backlog,Agent,Profit_Mean,Profit_Std,FillRate_Mean,AvgInv_Mean,Unfulfilled_Mean,Time_Mean_Sec,Num_Seeds
base,stationary,False,True,Oracle,841.3732,58.53392641332028,0.9904197873324087,593.1333333333334,6.0,0.330562162399292,5
base,stationary,False,True,DLP,788.1129999999999,56.48336379855573,0.8767947120165862,686.5600000000001,75.8,2.626488971710205,5
base,stationary,False,True,DLP_Blind,787.5470000000001,57.466097622859344,0.8913980328838326,685.6133333333333,65.6,2.7016462326049804,5
base,stationary,False,False,Oracle,829.5322,46.377098703562716,0.9913721682847896,596.0133333333333,5.4,0.19352459907531738,5
base,stationary,False,False,DLP,737.1790000000001,34.76622634109146,0.9570683122804265,701.4599999999999,26.2,1.8614327907562256,5
base,stationary,False,False,DLP_Blind,726.354,49.58174859764426,0.9486854266191524,699.4466666666667,31.0,1.8254829883575439,5
base,stationary,True,True,Oracle,895.9970000000001,58.14717693921184,0.9669290198246128,576.2,20.4,0.21439862251281738,5
base,stationary,True,True,DLP,549.4530000000001,72.16071372984058,0.9197678442643827,734.8999999999999,36.8,1.5531007766723632,5
base,stationary,True,True,DLP_Blind,659.769,76.30104785650063,0.9136496918259767,705.9333333333334,45.6,1.831334924697876,5
base,stationary,True,False,Oracle,864.0554,68.43823294212092,0.9758355475449019,584.2666666666667,15.0,0.22679777145385743,5
base,stationary,True,False,DLP,590.302,73.36631547242914,0.9587800429263957,732.0466666666667,21.6,2.4729925632476806,5
base,stationary,True,False,DLP_Blind,646.915,115.74319029644897,0.9522467548437163,712.0333333333333,26.0,2.0854005336761476,5
base,trend,False,True,Oracle,1726.8110000000001,67.59922078544986,0.7845292443744826,448.0133333333333,222.0,0.15419940948486327,5
base,trend,False,True,DLP,1686.991,66.71170979670653,0.7162098400926415,514.1733333333334,293.0,2.8848472118377684,5
base,trend,False,True,DLP_Blind,1637.9370000000001,63.34018042285641,0.46429363932101353,524.4066666666668,549.8,2.482361602783203,5
base,trend,False,False,Oracle,1535.8922000000002,48.646265831613526,0.9096397087191586,496.2866666666667,92.8,0.2611192226409912,5
base,trend,False,False,DLP,1472.138,40.130845318781944,0.8963204098438833,573.48,106.6,2.1089936256408692,5
base,trend,False,False,DLP_Blind,1294.8700000000001,33.66248549943981,0.818839241759848,603.7,186.0,1.496631097793579,5
base,trend,True,True,Oracle,1291.9632,82.42192889128471,0.6833990509725214,479.4466666666667,267.0,0.12232398986816406,5
base,trend,True,True,DLP,1053.833,106.30740583797538,0.8513253143607397,627.6333333333332,106.6,1.5600378513336182,5
base,trend,True,True,DLP_Blind,839.142,63.054316791160275,0.7873086338728739,661.1533333333334,131.0,1.740523338317871,5
base,trend,True,False,Oracle,1206.6563999999998,90.27460257813378,0.8883515497659367,523.1333333333334,99.6,0.18503923416137696,5
base,trend,True,False,DLP,1008.491,100.84888305777118,0.9163361892400863,647.6066666666666,63.8,1.8583207607269288,5
base,trend,True,False,DLP_Blind,874.092,54.7387219982345,0.8874197371861989,666.4133333333334,82.4,1.651641273498535,5
base,seasonal,False,True,Oracle,840.9057999999999,45.835971443397874,0.5637659445201708,552.8266666666667,264.4,0.13006715774536132,5
base,seasonal,False,True,DLP,791.1030000000001,43.21132300682317,0.45210783742458843,644.5066666666667,333.2,1.5673891067504884,5
base,seasonal,False,True,DLP_Blind,770.048,53.34639224914835,0.37762833301840726,649.82,376.2,1.808962106704712,5
base,seasonal,False,False,Oracle,648.6225999999999,25.918879039032507,0.8424537654763273,602.76,95.0,0.15565996170043944,5
