agent,demand,goodwill,seed,profit
MSSP_Blind,stationary,True,106,604.2850000000001
DLP_Blind,stationary,True,106,529.8376666000001
Residual_General,stationary,True,106,923.9398804188747
Residual_Specific,stationary,True,106,930.3218451298496
Oracle,stationary,True,107,945.7659999999998
Heuristic,stationary,True,107,822.757734375
DLP,stationary,True,107,873.7656032648501
MSSP,stationary,True,107,873.1700000000001
MSSP_Blind,stationary,True,107,728.585
DLP_Blind,stationary,True,107,680.858
Residual_General,stationary,True,107,816.2214161036533
Residual_Specific,stationary,True,107,825.6357503095121
Oracle,stationary,True,108,976.1379999999999
Heuristic,stationary,True,108,750.2156041666667
DLP,stationary,True,108,651.850546304
MSSP,stationary,True,108,814.765
MSSP_Blind,stationary,True,108,646.23
DLP_Blind,stationary,True,108,597.6785
Residual_General,stationary,True,108,741.7020536788681
Residual_Specific,stationary,True,108,852.3818657235404
Oracle,stationary,True,109,937.0780000000001
Heuristic,stationary,True,109,737.5683125
DLP,stationary,True,109,410.72945619649994
MSSP,stationary,True,109,632.0999999999999
MSSP_Blind,stationary,True,109,833.5500000000001
DLP_Blind,stationary,True,109,743.6036666563501
Residual_General,stationary,True,109,808.1622088320041
Residual_Specific,stationary,True,109,866.7041119741216
Oracle,shock,False,100,1523.706
Heuristic,shock,False,100,1272.7722899305554
DLP,shock,False,100,1484.025
MSSP,shock,False,100,1490.8650000000002
MSSP_Blind,shock,False,100,1447.935
DLP_Blind,shock,False,100,1442.36266667
Residual_General,shock,False,100,1268.0592773379074
Residual_Specific,shock,False,100,1270.6659826338694
Oracle,shock,False,101,1520.821
Heuristic,shock,False,101,1271.3187777777778
DLP,shock,False,101,1474.245
MSSP,shock,False,101,1478.545
MSSP_Blind,shock,False,101,1447.88
DLP_Blind,shock,False,101,1440.272
Residual_General,shock,False,101,1267.214076885917
Residual_Specific,shock,False,101,1266.4164326993923
Oracle,shock,False,102,1464.4830000000002
Heuristic,shock,False,102,1217.937146412037
DLP,shock,False,102,1417.585
MSSP,shock,False,102,1426.2649999999999
MSSP_Blind,shock,False,102,1392.265
DLP_Blind,shock,False,102,1384.2166667850001
Residual_General,shock,False,102,1214.2939800562979
Residual_Specific,shock,False,102,1216.4822079588862
Oracle,shock,False,103,1339.7939999999999
Heuristic,shock,False,103,1091.3971666666666
DLP,shock,False,103,1303.79
MSSP,shock,False,103,1301.465
MSSP_Blind,shock,False,103,1270.78
DLP_Blind,shock,False,103,1265.1
Residual_General,shock,False,103,1087.7291575376632
Residual_Specific,shock,False,103,1088.2093176924195
Oracle,shock,False,104,1417.161
Heuristic,shock,False,104,1171.1487135416667
DLP,shock,False,104,1360.455
MSSP,shock,False,104,1380.7050000000002
MSSP_Blind,shock,False,104,1338.37
DLP_Blind,shock,False,104,1303.9350000000002
Residual_General,shock,False,104,1168.0620416337754
Residual_Specific,shock,False,104,1168.4986044513334
Oracle,shock,False,105,1503.203
Heuristic,shock,False,105,1255.9761296296297
DLP,shock,False,105,1437.4750000000001
MSSP,shock,False,105,1469.6050000000002
MSSP_Blind,shock,False,105,1433.69
DLP_Blind,shock,False,105,1406.2831666650002
Residual_General,shock,False,105,1251.2694064526245
Residual_Specific,shock,False,105,1252.512186332167
Oracle,shock,False,106,1625.5749999999998
Heuristic,shock,False,106,1362.7665517939815
DLP,shock,False,106,1533.75
MSSP,shock,False,106,1579.9950000000001
MSSP_Blind,shock,False,106,1537.565
DLP_Blind,shock,False,106,1526.0121666000025
Residual_General,shock,False,106,1357.9107467029412
Residual_Specific,shock,False,106,1369.7332175100905
Oracle,shock,False,107,1337.212
Heuristic,shock,False,107,1089.8646961805555
DLP,shock,False,107,1301.335
MSSP,shock,False,107,1298.5900000000001
MSSP_Blind,shock,False,107,1260.3850000000002
DLP_Blind,shock,False,107,1254.5990000000002
Residual_General,shock,False,107,1086.3254978534137
Residual_Specific,shock,False,107,1088.5536212193501
Oracle,shock,False,108,1361.0900000000001
Heuristic,shock,False,108,1113.1967447916666
DLP,shock,False,108,1323.045
MSSP,shock,False,108,1323.6750000000002
MSSP_Blind,shock,False,108,1278.67
DLP_Blind,shock,False,108,1274.755
Residual_General,shock,False,108,1108.4806550465416
Residual_Specific,shock,False,108,1110.5805532163638
Oracle,shock,False,109,1583.2910000000002
Heuristic,shock,False,109,1339.0160540726274
DLP,shock,False,109,1512.605
MSSP,shock,False,109,1548.085
MSSP_Blind,shock,False,109,1506.065
DLP_Blind,shock,False,109,1502.568
Residual_General,shock,False,109,1334.8095355750586
