Network,Demand,Goodwill,Backlog,Seed,Old_Profit,Old_FillRate,Old_Unfulfilled,Old_AvgInv,Old_AvgBacklog,Old_Sentiment,Old_SolveTime,Clv_Profit,Clv_FillRate,Clv_Unfulfilled,Clv_AvgInv,Clv_AvgBacklog,Clv_Sentiment,Clv_SolveTime
base,stationary,False,False,58,833.073,1.0,0.0,603.1333333333333,0.0,1.0,0,833.073,1.0,0.0,100.52222222222223,0.0,1.0,3.2725608348846436
base,stationary,False,False,59,807.4970000000001,1.0,0.0,609.9,0.0,1.0,0,807.4970000000001,1.0,0.0,101.65,0.0,1.0,2.9887921810150146
base,stationary,False,False,60,770.9889999999998,1.0,0.0,614.0333333333333,0.0,1.0,0,770.9889999999998,1.0,0.0,102.33888888888889,0.0,1.0,2.9554858207702637
base,stationary,False,False,61,811.602,1.0,0.0,615.8,0.0,1.0,0,811.602,1.0,0.0,102.63333333333334,0.0,1.0,3.1309478282928467
base,stationary,False,False,62,922.915,1.0,0.0,580.9666666666667,0.0,1.0,0,922.915,1.0,0.0,96.82777777777778,0.0,1.0,3.1803438663482666
base,stationary,False,False,63,825.5079999999998,1.0,0.0,614.5666666666667,0.0,1.0,0,825.5079999999998,1.0,0.0,102.42777777777778,0.0,1.0,3.127387046813965
base,stationary,False,False,64,899.5969999999998,0.963020030816641,24.0,583.0666666666667,0.8,1.0,0,899.5969999999998,0.963020030816641,24.0,97.17777777777778,0.8,1.0,3.301295757293701
base,stationary,False,False,65,772.2540000000001,1.0,0.0,614.4666666666667,0.0,1.0,0,772.2540000000001,1.0,0.0,102.41111111111111,0.0,1.0,3.3644280433654785
base,stationary,False,False,66,794.6770000000001,1.0,0.0,616.3333333333334,0.0,1.0,0,794.6770000000001,1.0,0.0,102.72222222222223,0.0,1.0,3.4730031490325928
base,stationary,False,False,67,686.4889999999999,1.0,0.0,631.4333333333333,0.0,1.0,0,686.4889999999999,1.0,0.0,105.2388888888889,0.0,1.0,3.70831298828125
base,stationary,False,False,68,805.0620000000001,1.0,0.0,608.3666666666667,0.0,1.0,0,805.0620000000001,1.0,0.0,101.39444444444445,0.0,1.0,2.934612989425659
base,stationary,False,False,69,871.581,0.957680250783699,27.0,583.0666666666667,0.9,1.0,0,871.581,0.957680250783699,27.0,97.17777777777778,0.9,1.0,2.9577951431274414
base,stationary,False,False,70,786.1389999999999,1.0,0.0,618.8666666666667,0.0,1.0,0,786.1389999999999,1.0,0.0,103.14444444444445,0.0,1.0,3.3380930423736572
base,stationary,False,False,71,921.2579999999999,0.9799691833590138,13.0,584.5666666666667,0.43333333333333335,1.0,0,921.2579999999999,0.9799691833590138,13.0,97.42777777777778,0.43333333333333335,1.0,3.494551181793213
base,stationary,True,True,42,960.193,0.9695121951219512,20.0,569.6333333333333,0.6666666666666666,1.1891618702084263,0,583.0399999999997,0.8773006134969326,60.0,103.38888888888889,2.0,0.5305043201878519,4.27026629447937
base,stationary,True,True,43,992.0920000000001,1.0,0.0,579.8,0.0,1.334503876567234,0,703.549,0.9459962756052142,29.0,102.48333333333333,0.9666666666666667,0.7497656126116105,4.344233989715576
base,stationary,True,True,44,956.596,0.983206106870229,11.0,573.0,0.36666666666666664,1.1891618702084263,0,684.4370000000001,0.9092627599243857,48.0,101.84444444444445,1.6,0.6681079716341084,3.9072461128234863
base,stationary,True,True,45,943.4259999999999,0.9768518518518519,15.0,573.7333333333333,0.5,1.1891618702084263,0,630.8919999999998,0.9125248508946322,44.0,102.80555555555556,1.4666666666666666,0.472726621949571,3.9449079036712646
base,stationary,True,True,46,806.7170000000002,0.9489795918367347,30.0,587.0333333333333,1.0,0.9442418536112392,0,624.0450000000001,0.8392857142857143,81.0,103.00555555555556,2.7,0.4727266219495709,3.9060628414154053
base,stationary,True,True,47,895.72,0.8876582278481012,71.0,562.0666666666667,2.3666666666666667,0.9442418536112391,0,702.088,0.8675373134328358,71.0,98.92777777777778,2.3666666666666667,0.530504320187852,3.8732290267944336
base,stationary,True,True,48,941.1859999999999,0.9845679012345679,10.0,570.7,0.3333333333333333,1.1891618702084263,0,701.9630000000001,0.9626168224299065,20.0,101.53888888888889,0.6666666666666666,0.7497656126116106,4.070606231689453
base,stationary,True,True,49,813.9240000000001,0.9359190556492412,38.0,575.8333333333334,1.2666666666666666,0.9442418536112391,0,644.0430000000001,0.8254901960784333,88.999999999999,101.38888888888889,2.9666666666666335,0.5953437370997003,3.8361809253692627
base,stationary,True,True,50,987.3619999999999,0.9955223880597015,3.0,569.4,0.1,1.1891618702084263,0,667.825,0.870722433460076,68.0,101.78888888888889,2.2666666666666666,0.5953437370997003,3.8256471157073975
base,stationary,True,True,51,980.143,0.9804511278195489,13.0,565.3,0.43333333333333335,1.1891618702084263,0,588.302,0.7328094302554027,136.0,102.32222222222222,4.533333333333333,0.5305043201878518,3.772106885910034
base,stationary,True,True,52,936.8290000000001,0.9829457364341085,11.0,575.7666666666667,0.36666666666666664,1.1891618702084263,0,645.983,0.9215686274509804,40.0,102.43888888888888,1.3333333333333333,0.530504320187852,3.9177160263061523
base,stationary,True,True,53,968.3200000000002,0.9712556732223904,19.0,573.9,0.6333333333333333,1.1891618702084263,0,601.2360000000001,0.864000000000004,67.99999999999801,103.27222222222223,2.2666666666666004,0.5305043201878518,3.9015018939971924
base,stationary,True,True,54,940.2429999999998,1.0,0.0,600.2,0.0,1.334503876567234,0,539.531,0.8047210300429184,91.0,108.18333333333334,3.033333333333333,0.4727266219495709,3.8496668338775635
base,stationary,True,True,55,942.4549999999999,1.0,0.0,603.9,0.0,1.334503876567234,0,568.2679999999998,0.8914405010438434,51.999999999999005,108.09444444444445,1.7333333333333,0.5953437370997003,4.009772062301636
base,stationary,True,True,56,994.2720000000003,0.9762258543833581,16.0,565.3,0.5333333333333333,1.1891618702084263,0,658.9830000000002,0.8971428571428571,54.0,101.72222222222223,1.8,0.530504320187852,4.9331910610198975
base,stationary,True,True,57,953.233,0.9908116385911179,6.0,572.7,0.2,1.1891618702084263,0,613.034,0.8012048192771084,99.0,103.5,3.3,0.42124154431149885,4.420553922653198
base,stationary,True,True,58,942.575,0.9984591679506933,1.0,578.2,0.03333333333333333,1.1891618702084263,0,708.173,0.949814126394052,27.0,101.22777777777777,0.9,0.6681079716341082,4.831346035003662
base,stationary,True,True,59,971.644,1.0,0.0,586.6666666666666,0.0,1.334503876567234,0,584.6679999999999,0.9132231404958677,42.0,105.97777777777777,1.4,0.5953437370997003,4.240437030792236
base,stationary,True,True,60,972.8430000000001,1.0,0.0,581.0,0.0,1.334503876567234,0,627.2200000000003,0.9402390438247051,29.999999999998003,104.26666666666665,0.9999999999999335,0.6681079716341083,4.3345019817352295
base,stationary,True,True,61,1018.2609999999999,1.0,0.0,576.9,0.0,1.334503876567234,0,660.6030000000001,0.9017341040462428,51.0,103.78333333333333,1.7,0.5953437370997005,4.080942869186401
