Network,Demand,Goodwill,Backlog,FillRate_Mean_DLP,FillRate_Mean_DLP_Blind,FillRate_Mean_Oracle,Profit_Mean_DLP,Profit_Mean_DLP_Blind,Profit_Mean_Oracle,Unfulfilled_Mean_DLP,Unfulfilled_Mean_DLP_Blind,Unfulfilled_Mean_Oracle,DLP_Gap_vs_Oracle_%,VPF_DLP
base,trend+shock,True,True,0.8932949106812309,0.6811362960207765,0.7892973732142151,1825.3139999999999,1138.429,2005.8091999999997,114.0,245.4,267.0,9.0,686.88
serial,seasonal,False,False,0.6668123539829457,0.6668123539829457,0.9115087366123003,741.324,731.3860000000001,964.3619999999999,200.8,200.8,53.6,23.13,9.94
serial,seasonal,False,True,0.0,0.0,0.8652441573888364,576.9419999999998,541.3860000000001,1040.084,1887.6,2207.2,82.4,44.53,35.56
serial,seasonal,True,False,0.8143531334871692,0.8000677059815938,0.9017593096199527,746.8639999999999,706.94,816.406,91.6,97.8,55.8,8.52,39.92
serial,seasonal,True,True,0.35992929169758225,0.31729600246739575,0.8445954498387124,723.488,701.4979999999999,876.5959999999999,329.2,285.4,87.6,17.47,21.99
serial,seasonal+shock,False,False,0.49988579781695003,0.49988579781695003,0.9336555287446048,721.916,715.9320000000001,1245.7900000000002,401.6,401.6,53.6,42.05,5.98
serial,seasonal+shock,False,True,0.0,0.0,0.8990261225366369,411.8619999999999,376.306,1321.2040000000002,3538.4,3858.0,82.4,68.83,35.56
serial,seasonal+shock,True,False,0.7000739294784164,0.7136956686457688,0.926382972467232,741.4979999999999,731.656,1032.614,171.6,161.2,55.8,28.19,9.84
serial,seasonal+shock,True,True,0.0,0.013901345291479817,0.8821017413419924,659.404,690.488,1078.8020000000001,998.4,615.4,87.6,38.88,-31.08
serial,shock,False,False,0.4508207028807224,0.4508207028807224,0.9943233134985985,705.1659999999999,701.026,1433.896,488.4,488.4,5.2,50.82,4.14
serial,shock,False,True,0.0,0.0,0.9910553396423893,413.26599999999996,400.98,1441.464,3432.2,3526.8,8.2,71.33,12.29
serial,shock,True,False,0.6532660422565127,0.6802093631102385,0.9924587516385518,728.512,726.7459999999999,1494.6680000000001,212.6,191.0,7.0,51.26,1.77
serial,shock,True,True,0.0,0.0,0.9893197381856369,647.2919999999999,640.174,1501.8919999999998,1020.0,1079.4,9.8,56.9,7.12
serial,stationary,False,False,0.6715281800000331,0.6715281800000331,0.9917142857142857,731.748,729.1220000000001,1024.326,196.8,196.8,5.2,28.56,2.63
serial,stationary,False,True,0.0,0.0,0.9869523809523809,631.328,630.7920000000001,1032.0179999999998,1234.2,1223.0,8.2,38.83,0.54
serial,stationary,True,False,0.8304772882864976,0.8091938247342648,0.9888399411275237,736.83,733.6179999999999,1052.108,82.0,96.4,7.0,29.97,3.21
serial,stationary,True,True,0.582029325943871,0.2652786339781531,0.9842497771930976,724.0440000000001,709.554,1059.4640000000002,186.6,353.6,9.8,31.66,14.49
serial,trend,False,False,0.39128733880610284,0.39128733880610284,0.9699942734271657,699.386,693.426,1589.888,623.4,623.4,31.0,56.01,5.96
serial,trend,False,True,0.0,0.0,0.9623994400739135,268.13199999999995,234.33,1634.172,4955.8,5261.6,39.0,83.59,33.8
